FEN, nodes_at_depth_2, nodes_at_depth_4, nodes_at_depth_6, nodes_at_depth_8, nodes_at_depth_10, nodes_at_depth_12, nodes_at_depth_14, nodes_at_depth_16
1k/1p/1P/1K,1,1,0,0,0,0,0,0
1k/1p/2/1P/1K,7,50,172,430,1213,4688,26126,174393
1k/pp/PP/1K,8,39,154,610,2213,7623,24246,68802
1k1/1p1/1P1/1K1,4,4,0,0,0,0,0,0
bk/2/2/BK,4,24,64,224,929,3977,16236,59556
bk/2/BK,1,0,0,0,0,0,0,0
bk/pp/PP/BK,5,18,81,405,1628,6385,24626,90986
bk1/3/BK1,4,19,84,360,1277,4929,17016,58900
k/p/1/1/1/1/1/1/1/1/P/K,1,4,16,94,472,2817,13194,61796
k/p/1/1/1/1/1/1/1/P/K,1,4,16,93,434,2216,7924,28067
k/p/1/1/1/1/1/1/P/K,1,4,16,87,334,1290,3027,7324
k/p/1/1/1/1/1/P/K,1,4,15,68,167,440,543,704
k/p/1/1/1/1/P/K,1,4,11,36,42,53,30,5
k/p/1/1/1/P/K,1,3,5,7,3,0,0,0
k/p/1/1/P/K,1,1,1,0,0,0,0,0
k/p/1/P/K,0,0,0,0,0,0,0,0
k/p/P/K,0,0,0,0,0,0,0,0
nk/2/2/NK,4,24,93,407,1564,5580,18239,54485
nk/pp/PP/NK,6,19,59,210,906,3642,14136,49554
nk1/3/NK1,2,12,43,189,729,2786,9921,34160
qk/2/2/QK,11,50,199,763,2650,8225,23559,62668
qk/2/QK,3,1,1,0,0,0,0,0
qk/pp/PP/QK,6,41,246,1205,5533,22370,84017,294853
qk1/3/QK1,5,21,48,99,250,481,853,1507
rk/2/2/RK,10,79,387,1863,7964,32321,124729,449537
rk/2/RK,2,1,1,0,0,0,0,0
rk/pp/PP/RK,5,32,230,1232,6720,34084,160612,713491
rk1/3/RK1,6,45,194,918,3377,13738,47384,171348
nk1/3/NK1,2,,,,,,,
qk1/3/QK1,5,,,,,,,
rk1/3/RK1,6,,,,,,,
bk1/3/BK1,4,,,,,,,
nk1/3/NK1,,12,,,,,,
bk1/3/BK1,,19,,,,,,
qk1/3/QK1,,21,,,,,,
rk1/3/RK1,,45,,,,,,
nk1/3/NK1,,,43,,,,,
qk1/3/QK1,,,48,,,,,
bk1/3/BK1,,,84,,,,,
rk1/3/RK1,,,194,,,,,
nk1/3/NK1,,,,189,,,,
qk1/3/QK1,,,,99,,,,
bk1/3/BK1,,,,360,,,,
rk1/3/RK1,,,,918,,,,
qk1/3/QK1,,,,,250,,,
bk1/3/BK1,,,,,1277,,,
nk1/3/NK1,,,,,729,,,
rk1/3/RK1,,,,,3377,,,
qk1/3/QK1,,,,,,481,,
nk1/3/NK1,,,,,,2786,,
bk1/3/BK1,,,,,,4929,,
rk1/3/RK1,,,,,,13738,,
qk1/3/QK1,,,,,,,853,
nk1/3/NK1,,,,,,,9921,
bk1/3/BK1,,,,,,,17016,
rk1/3/RK1,,,,,,,47384,
qk1/3/QK1,,,,,,,,1507
bk1/3/BK1,,,,,,,,58900
nk1/3/NK1,,,,,,,,34160
rk1/3/RK1,,,,,,,,171348
qk/pp/2/PP/QK,4,,,,,,,
bk/pp/2/PP/BK,4,,,,,,,
1k/pp/2/2/PP/1K,9,,,,,,,
1k/pp/2/PP/1K,9,,,,,,,
1k1/1p1/3/1P1/1K1,22,,,,,,,
nk/pp/2/PP/NK,9,,,,,,,
rk/pp/2/PP/RK,4,,,,,,,
bk/pp/2/PP/BK,,16,,,,,,
rk/pp/2/PP/RK,,23,,,,,,
qk/pp/2/PP/QK,,35,,,,,,
1k/pp/2/PP/1K,,75,,,,,,
nk/pp/2/PP/NK,,72,,,,,,
1k/pp/2/2/PP/1K,,117,,,,,,
1k1/1p1/3/1P1/1K1,,196,,,,,,
bk/pp/2/PP/BK,,,133,,,,,
rk/pp/2/PP/RK,,,293,,,,,
qk/pp/2/PP/QK,,,523,,,,,
nk/pp/2/PP/NK,,,681,,,,,
1k/pp/2/PP/1K,,,684,,,,,
1k1/1p1/3/1P1/1K1,,,1114,,,,,
1k/pp/2/2/PP/1K,,,1717,,,,,
bk/pp/2/PP/BK,,,,1139,,,,
1k/pp/2/PP/1K,,,,6272,,,,
rk/pp/2/PP/RK,,,,3900,,,,
1k1/1p1/3/1P1/1K1,,,,5824,,,,
nk/pp/2/PP/NK,,,,6396,,,,
qk/pp/2/PP/QK,,,,7447,,,,
1k/pp/2/2/PP/1K,,,,25266,,,,
bk/pp/2/PP/BK,,,,,10502,,,
1k1/1p1/3/1P1/1K1,,,,,32728,,,
rk/pp/2/PP/RK,,,,,49234,,,
nk/pp/2/PP/NK,,,,,61609,,,
1k/pp/2/PP/1K,,,,,54134,,,
qk/pp/2/PP/QK,,,,,107239,,,
1k/pp/2/2/PP/1K,,,,,365002,,,
bk/pp/2/PP/BK,,,,,,100865,,
1k1/1p1/3/1P1/1K1,,,,,,215382,,
1k/pp/2/PP/1K,,,,,,453136,,
rk/pp/2/PP/RK,,,,,,622259,,
nk/pp/2/PP/NK,,,,,,580747,,
qk/pp/2/PP/QK,,,,,,1517140,,
1k/pp/2/2/PP/1K,,,,,,5055785,,
bk/pp/2/PP/BK,,,,,,,976609,
