FEN,Evaluation,MinMaxAlphaBeta Depth Limit,MinMaxAlphaBeta Time,MinMaxAlphaBeta Nodes,MinMaxSimple Depth Limit,MinMaxSimple Time,Total Nodes
1k/1p/1P/1K,-4.0,4.0,0.00010805,4.0,4.0,8.07e-05,4.0
1k/1p/2/1P/1K,-5.0,18.0,0.00272034,165.0,,,
1k/pp/PP/1K,-11.0,24.0,0.11826344999999999,2815.0,44.0,190.81805250000002,25237014.0
1k1/1p1/1P1/1K1,-4.0,4.0,0.000222175,9.0,4.0,0.00010285,11.0
bk/2/2/BK,-11.0,44.0,1.0229996666666665,25269.0,,,
bk/2/BK,-2.0,2.0,0.000145525,3.0,2.0,3.593333333333334e-05,3.0
bk/pp/PP/BK,9995.0,62.0,13.39943,678670.0,,,
bk1/3/BK1,-2.0,3.0,0.00020893333333333336,6.0,,,
k/p/1/1/1/1/1/1/1/1/P/K,-18.0,65.0,5.215795,238138.0,,,
k/p/1/1/1/1/1/1/1/P/K,-15.0,49.0,0.3487228,26596.0,54.0,45.71652675,5212440.0
k/p/1/1/1/1/1/1/P/K,-14.0,37.0,0.07940532,3767.0,38.0,0.80403325,104404.0
k/p/1/1/1/1/1/P/K,-11.0,25.0,0.0110638,549.0,26.0,0.043515200000000004,3864.0
k/p/1/1/1/1/P/K,-10.0,17.0,0.0013853799999999999,116.0,18.0,0.002809575,258.0
k/p/1/1/1/P/K,-7.0,10.0,0.00056016,22.0,10.0,0.0005117,30.0
k/p/1/1/P/K,-6.0,6.0,0.00010782000000000001,6.0,6.0,6.610000000000001e-05,6.0
k/p/1/P/K,-1.0,1.0,6.516e-05,2.0,1.0,1.9325000000000002e-05,2.0
k/p/P/K,0.0,0.0,2.5e-05,1.0,0.0,5.2e-06,1.0
nk/2/2/NK,-6.0,34.0,0.22383973333333332,7187.0,,,
nk/pp/PP/NK,-10.0,44.0,3.5899233333333336,47439.0,,,
nk1/3/NK1,-17.0,77.0,8.47568,,,,
qk/2/2/QK,-7.0,30.0,0.5541126666666667,6303.0,59.0,2051.48,
qk/2/QK,-6.0,6.0,0.000288375,10.0,6.0,8.715e-05,10.0
qk/pp/PP/QK,-15.0,54.0,23.91926666666667,258147.0,,,
qk1/3/QK1,-2.0,18.0,0.00966325,,,,
rk/2/2/RK,-7.0,70.0,39.235733333333336,1134338.0,,,
rk/2/RK,-2.0,6.0,0.00012976666666666669,8.0,6.0,7.000000000000001e-05,8.0
rk/pp/PP/RK,-9.0,74.0,153.339,7148104.0,,,
rk1/3/RK1,-8.0,122.0,22697.3,,,,
